kind,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,88206489,1908,7,-43,164,-989,61,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88304990,1909,7,-45,163,-987,183,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER,88314552,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88326489,1910,7,-44,164,-987,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88457995,1911,7,-44,165,-987,-61,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,88483951,111,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,88486497,1912,7,-45,164,-988,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88612501,1913,7,-44,164,-988,122,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88646497,1914,7,-43,164,-988,61,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,88754294,112,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,88766497,1915,7,-43,164,-989,183,-122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88806489,1916,7,-45,164,-991,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88920423,1917,7,-43,162,-986,-61,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88926488,1918,7,-42,162,-984,122,-61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,88966489,1919,7,-43,164,-994,183,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89006489,1920,7,-44,162,-984,61,305,183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89046489,1921,7,-44,164,-985,61,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89086488,1922,7,-46,164,-991,0,0,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89126488,1923,7,-44,164,-984,122,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
