kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,88582527,1912,7,-34,195,-967,0,-244,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88681654,1913,7,-34,195,-965,61,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,88685662,112,,,,,,,,1112,66,147,56,32,163,32,128,36,24,240,255,55,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,88702536,1914,7,-36,195,-973,122,-183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88835873,1915,7,-38,196,-980,122,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88862536,1916,7,-37,194,-968,305,305,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88902535,1917,7,-37,195,-969,122,-61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88942535,1918,7,-36,196,-978,183,427,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,88982535,1919,7,-33,192,-969,183,305,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89022535,1920,7,-34,194,-974,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89062535,1921,7,-35,193,-971,183,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89102535,1922,7,-33,193,-969,122,-61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89142536,1923,7,-36,194,-978,244,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89182536,1924,7,-36,195,-972,183,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89222535,1925,7,-37,193,-972,61,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89262535,1926,7,-37,197,-968,122,122,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89302535,1927,7,-37,197,-968,183,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89342536,1928,7,-40,197,-974,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89382535,1929,7,-37,196,-974,244,244,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89422535,1930,7,-35,196,-976,244,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89462536,1931,7,-36,193,-973,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89502536,1932,7,-34,191,-969,305,61,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89542535,1933,7,-32,192,-971,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89582536,1934,7,-32,194,-972,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89622536,1935,7,-34,197,-1001,-305,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89662535,1936,7,-34,209,-1003,183,2014,549,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89702536,1937,7,-30,190,-903,305,-671,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89742536,1938,7,-43,208,-1003,-61,-977,-488,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89782536,1939,7,-40,196,-982,183,916,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89822536,1940,7,-38,185,-949,61,-671,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89862535,1941,7,-42,194,-987,122,-732,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89902536,1942,7,-38,195,-977,244,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,89942535,1943,7,-36,198,-969,183,366,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
STOP,,89948865,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
