kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,82702535,1788,7,-38,194,-974,183,-122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82742535,1789,7,-38,194,-971,244,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82782535,1790,7,-36,196,-974,61,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82822535,1791,7,-39,194,-971,305,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82862536,1792,7,-37,194,-973,244,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER,SPROTZ_START,82875873,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,82902542,1793,7,-39,195,-973,183,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,82944392,103,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,145,255,0,255,32
IMU_SAMPLE,,83021451,1794,7,-38,195,-974,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83022528,1795,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83062527,1796,7,-38,195,-971,183,122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
